"System Timestamp","Latitude","Longitude","Altitude"
1400138456000,52.84276,9.232478,76.900024
1400138458000,52.842728,9.232475,76.599976
1400138459000,52.84274,9.232443,83.900024
1400138460000,52.84275,9.232463,89.0
1400138461000,52.842743,9.232473,87.29999
1400138462000,52.842743,9.232463,88.0
1400138463000,52.842743,9.232463,88.0
1400138464000,52.842743,9.232463,88.0
1400138465000,52.842743,9.232463,88.0
1400138466000,52.842743,9.232463,88.0
1400138467000,52.842743,9.232463,88.0
1400138468000,52.842743,9.232463,88.0
1400138469000,52.842728,9.232449,86.20001
1400138470000,52.84272,9.232446,86.0
1400138471000,52.842716,9.232442,85.79999
1400138472000,52.842712,9.232436,86.20001
1400138473000,52.842712,9.232432,86.400024
1400138474000,52.84271,9.232432,86.099976
1400138475000,52.842705,9.232429,86.29999
1400138476000,52.842705,9.232425,86.5
1400138477000,52.842705,9.232425,86.5
1400138478000,52.842705,9.232425,86.5
1400138479000,52.842705,9.232425,86.5
1400138480000,52.842705,9.232425,86.5
1400138481000,52.842705,9.232425,86.5
1400138482000,52.842674,9.232411,85.70001
1400138483000,52.842674,9.232418,84.900024
1400138484000,52.842674,9.232418,84.599976
1400138485000,52.842674,9.232419,84.599976
1400138486000,52.842674,9.232419,84.599976
1400138487000,52.842674,9.232419,84.599976
1400138488000,52.842674,9.232419,84.599976
1400138489000,52.842674,9.232419,84.599976
1400138490000,52.842674,9.232419,84.599976
1400138491000,52.842674,9.232419,84.599976
1400138492000,52.842674,9.232419,84.599976
1400138493000,52.842674,9.232419,84.599976
1400138494000,52.842674,9.232419,84.599976
1400138495000,52.842674,9.232419,84.599976
1400138496000,52.842674,9.232419,84.599976
1400138497000,52.842674,9.232419,84.599976
1400138498000,52.842674,9.232419,84.599976
1400138499000,52.842674,9.232419,84.599976
1400138500000,52.842674,9.232419,84.599976
1400138501000,52.842674,9.232419,84.599976
1400138502000,52.842674,9.232419,84.599976
1400138503000,52.842674,9.232419,84.599976
1400138504000,52.842674,9.232419,84.599976
1400138505000,52.842674,9.232419,84.599976
1400138506000,52.842674,9.232419,84.599976
1400138507000,52.842674,9.232419,84.599976
1400138508000,52.842674,9.232419,84.599976
1400138509000,52.842674,9.232419,84.599976
1400138510000,52.842674,9.232419,84.599976
1400138511000,52.842674,9.232419,84.599976
1400138512000,52.842674,9.232419,84.599976
1400138513000,52.842674,9.232419,84.599976
1400138514000,52.842674,9.232419,84.599976
1400138515000,52.842674,9.232419,84.599976
1400138516000,52.842674,9.232419,84.599976
1400138517000,52.842674,9.232419,84.599976
1400138518000,52.842674,9.232419,84.599976
1400138519000,52.842674,9.232419,84.599976
1400138520000,52.842674,9.232419,84.599976
1400138521000,52.842674,9.232419,84.599976
1400138522000,52.842674,9.232419,84.599976
1400138523000,52.842674,9.232419,84.599976
1400138524000,52.842674,9.232419,84.599976
1400138525000,52.842674,9.232419,84.599976
1400138526000,52.842674,9.232419,84.599976
1400138527000,52.842674,9.232419,84.599976
1400138528000,52.842674,9.232419,84.599976
1400138529000,52.842674,9.232419,84.599976
1400138530000,52.842674,9.232419,84.599976
1400138531000,52.842674,9.232419,84.599976
1400138532000,52.842674,9.232419,84.599976
1400138533000,52.842674,9.232419,84.599976
1400138534000,52.842674,9.232419,84.599976
1400138535000,52.842674,9.232419,84.599976
1400138536000,52.842674,9.232419,84.599976
1400138537000,52.842674,9.232419,84.599976
1400138538000,52.842674,9.232419,84.599976
1400138539000,52.842674,9.232419,84.599976
1400138540000,52.842674,9.232419,84.599976
1400138541000,52.842674,9.232419,84.599976
1400138542000,52.842674,9.232419,84.599976
1400138543000,52.842674,9.232419,84.599976
1400138544000,52.842674,9.232419,84.599976
1400138545000,52.842674,9.232419,84.599976
1400138546000,52.842674,9.232419,84.599976
1400138547000,52.842674,9.232419,84.599976
1400138548000,52.842674,9.232419,84.599976
1400138549000,52.842674,9.232419,84.599976
1400138550000,52.842674,9.232419,84.599976
1400138551000,52.842674,9.232419,84.599976
1400138552000,52.842674,9.232419,84.599976
1400138553000,52.842674,9.232419,84.599976
1400138554000,52.842674,9.232419,84.599976
1400138555000,52.842674,9.232419,84.599976
1400138557000,52.842674,9.232419,84.599976
1400138558000,52.842674,9.232419,84.599976
1400138559000,52.842674,9.232419,84.599976
1400138560000,52.842674,9.232419,84.599976
1400138561000,52.842674,9.232419,84.599976
1400138562000,52.842674,9.232419,84.599976
1400138563000,52.842674,9.232419,84.599976
1400138564000,52.842674,9.232419,84.599976
1400138565000,52.842674,9.232419,84.599976
1400138566000,52.842674,9.232419,84.599976
1400138567000,52.842674,9.232419,84.599976
1400138568000,52.842674,9.232419,84.599976
1400138569000,52.842674,9.232419,84.599976
1400138570000,52.842674,9.232419,84.599976
1400138571000,52.842674,9.232419,84.599976
1400138572000,52.842674,9.232419,84.599976
1400138573000,52.842674,9.232419,84.599976
1400138574000,52.842674,9.232419,84.599976
1400138575000,52.842674,9.232419,84.599976
1400138576000,52.842674,9.232419,84.599976
1400138577000,52.842674,9.232419,84.599976
1400138578000,52.842674,9.232419,84.599976
1400138579000,52.842674,9.232419,84.599976
1400138580000,52.842674,9.232419,84.599976
1400138581000,52.842674,9.232419,84.599976
1400138582000,52.842674,9.232419,84.599976
1400138583000,52.842674,9.232419,84.599976
1400138584000,52.842674,9.232419,84.599976
1400138585000,52.842674,9.232419,84.599976
1400138586000,52.842674,9.232419,84.599976
1400138587000,52.842674,9.232419,84.599976
1400138588000,52.842674,9.232419,84.599976
1400138589000,52.842674,9.232419,84.599976
1400138590000,52.842674,9.232419,84.599976
1400138591000,52.842674,9.232419,84.599976
1400138592000,52.842674,9.232419,84.599976
1400138593000,52.842674,9.232419,84.599976
1400138594000,52.842674,9.232419,84.599976
1400138595000,52.842674,9.232419,84.599976
1400138596000,52.842674,9.232419,84.599976
1400138597000,52.842674,9.232419,84.599976
1400138598000,52.842674,9.232419,84.599976
1400138599000,52.842674,9.232419,84.599976
1400138600000,52.842674,9.232419,84.599976
1400138601000,52.842674,9.232419,84.599976
1400138602000,52.842674,9.232419,84.599976
1400138603000,52.842674,9.232419,84.599976
1400138604000,52.842632,9.232464,76.0
1400138605000,52.842625,9.232467,75.79999
1400138606000,52.84262,9.23247,75.5
1400138607000,52.842617,9.2324705,75.29999
1400138608000,52.842617,9.23247,75.20001
1400138609000,52.842617,9.2324705,75.0
1400138610000,52.842617,9.2324705,75.0
1400138611000,52.842617,9.2324705,75.0
1400138612000,52.842617,9.2324705,75.0
1400138613000,52.842617,9.2324705,75.0
1400138614000,52.842617,9.2324705,75.0
1400138615000,52.842617,9.2324705,75.0
1400138616000,52.84262,9.232471,73.900024
1400138617000,52.842617,9.2324705,73.599976
1400138618000,52.84261,9.2324705,73.400024
1400138619000,52.842606,9.232472,73.20001
1400138620000,52.842606,9.232474,73.099976
1400138621000,52.842606,9.232477,73.0
1400138622000,52.84261,9.232477,72.70001
1400138623000,52.84261,9.232477,72.70001
1400138624000,52.84261,9.232477,72.70001
1400138625000,52.84261,9.232477,72.70001
1400138626000,52.84261,9.232477,72.70001
1400138627000,52.84261,9.232477,72.70001
1400138628000,52.84261,9.232477,72.70001
1400138629000,52.84261,9.232477,72.70001
1400138630000,52.84261,9.232477,72.70001
1400138631000,52.84261,9.232477,72.70001
1400138632000,52.84261,9.232477,72.70001
1400138633000,52.84261,9.232477,72.70001
1400138634000,52.84261,9.232477,72.70001
1400138635000,52.84261,9.232477,72.70001
1400138636000,52.84261,9.232477,72.70001
1400138637000,52.84261,9.232477,72.70001
1400138638000,52.84261,9.232477,72.70001
1400138639000,52.84261,9.232477,72.70001
1400138640000,52.84261,9.232477,72.70001
1400138641000,52.84261,9.232477,72.70001
1400138642000,52.84261,9.232477,72.70001
1400138643000,52.84261,9.232477,72.70001
1400138644000,52.84261,9.232477,72.70001
1400138645000,52.84261,9.232477,72.70001
1400138646000,52.84261,9.232477,72.70001
1400138647000,52.84261,9.232477,72.70001
1400138648000,52.84261,9.232477,72.70001
1400138649000,52.84261,9.232477,72.70001
1400138650000,52.84261,9.232477,72.70001
1400138651000,52.84261,9.232477,72.70001
1400138652000,52.84261,9.232477,72.70001
1400138653000,52.84261,9.232477,72.70001
1400138654000,52.84261,9.232477,72.70001
1400138655000,52.84261,9.232477,72.70001
1400138657000,52.84261,9.232477,72.70001
1400138658000,52.84261,9.232477,72.70001
1400138659000,52.84261,9.232477,72.70001
1400138660000,52.84261,9.232477,72.70001
1400138661000,52.84261,9.232477,72.70001
1400138662000,52.84261,9.232477,72.70001
1400138663000,52.84261,9.232477,72.70001
1400138664000,52.84261,9.232477,72.70001
1400138665000,52.84261,9.232477,72.70001
1400138666000,52.84261,9.232477,72.70001
1400138667000,52.84261,9.232477,72.70001
1400138668000,52.84261,9.232477,72.70001
1400138669000,52.84261,9.232477,72.70001
1400138670000,52.84261,9.232477,72.70001
1400138671000,52.84261,9.232477,72.70001
1400138672000,52.84261,9.232477,72.70001
1400138673000,52.8426,9.232442,73.599976
1400138674000,52.842598,9.232442,73.5
1400138675000,52.842598,9.232441,73.400024
1400138676000,52.842598,9.23244,72.900024
1400138677000,52.842598,9.23244,72.900024
1400138678000,52.842598,9.23244,72.900024
1400138679000,52.842598,9.23244,72.900024
1400138680000,52.842598,9.23244,72.900024
1400138681000,52.842598,9.23244,72.900024
1400138682000,52.842598,9.23244,72.900024
1400138683000,52.842598,9.23244,72.900024
1400138684000,52.84259,9.232399,71.5
1400138685000,52.842587,9.23239,71.29999
1400138686000,52.842587,9.232387,71.0
1400138687000,52.842587,9.232386,70.70001
1400138688000,52.842583,9.232389,70.20001
1400138689000,52.842583,9.232389,70.20001
1400138690000,52.842583,9.232389,70.20001
1400138691000,52.842583,9.232389,70.20001
1400138692000,52.842583,9.232389,70.20001
1400138693000,52.842583,9.232389,70.20001
1400138694000,52.842583,9.232389,70.20001
1400138695000,52.842583,9.232389,70.20001
1400138696000,52.842583,9.232389,70.20001
1400138697000,52.842583,9.232389,70.20001
1400138698000,52.842583,9.232389,70.20001
1400138699000,52.842583,9.232389,70.20001
1400138700000,52.842583,9.232389,70.20001
1400138701000,52.842587,9.232391,67.900024
1400138702000,52.842587,9.232396,67.900024
1400138703000,52.84259,9.232397,67.900024
1400138704000,52.84259,9.232399,68.0
1400138705000,52.84259,9.232399,68.0
1400138706000,52.84259,9.232399,68.0
1400138707000,52.84259,9.232399,68.0
1400138708000,52.84259,9.232399,68.0
1400138709000,52.8426,9.23243,67.599976
1400138710000,52.842606,9.23244,67.5
1400138711000,52.84261,9.232446,67.599976
1400138712000,52.84261,9.232447,67.599976
1400138713000,52.84261,9.232447,67.599976
1400138714000,52.84261,9.232447,67.599976
1400138715000,52.84261,9.232447,67.599976
1400138716000,52.84261,9.232447,67.599976
1400138717000,52.84261,9.232447,67.599976
1400138718000,52.84261,9.232447,67.599976
1400138719000,52.84261,9.232452,66.900024
1400138720000,52.84261,9.232453,66.79999
1400138721000,52.84261,9.232454,66.79999
1400138722000,52.842606,9.232455,66.900024
1400138723000,52.842606,9.232452,67.0
1400138724000,52.842606,9.232443,67.099976
1400138725000,52.842606,9.232432,67.099976
1400138726000,52.842606,9.2324295,67.0
1400138727000,52.842606,9.232427,66.900024
1400138728000,52.842606,9.232423,66.900024
1400138729000,52.842606,9.232423,66.900024
1400138730000,52.842606,9.232423,66.900024
1400138731000,52.842606,9.232423,66.900024
1400138732000,52.842606,9.232423,66.900024
1400138733000,52.842606,9.232423,66.900024
1400138734000,52.842606,9.232423,66.900024
1400138735000,52.842606,9.232423,66.900024
1400138736000,52.842606,9.232423,66.900024
1400138737000,52.842606,9.232423,66.900024
1400138738000,52.842606,9.232423,66.900024
1400138739000,52.842606,9.232423,66.900024
1400138740000,52.842606,9.232423,66.900024
1400138741000,52.842606,9.232423,66.900024
1400138742000,52.842606,9.232423,66.900024
1400138743000,52.842606,9.232423,66.900024
1400138744000,52.84261,9.23244,66.79999
1400138745000,52.84261,9.232448,66.70001
1400138746000,52.842617,9.232453,66.599976
1400138747000,52.84262,9.232457,66.70001
1400138748000,52.84263,9.232461,66.599976
1400138749000,52.842632,9.232467,66.599976
1400138750000,52.842632,9.232472,66.5
1400138751000,52.842636,9.232476,66.5
1400138752000,52.84264,9.232482,66.400024
1400138753000,52.84264,9.232487,66.29999
1400138754000,52.84264,9.23248,66.29999
1400138755000,52.84264,9.232478,66.20001
1400138757000,52.84264,9.232476,66.099976
1400138758000,52.84264,9.232476,66.099976
1400138759000,52.842663,9.232473,65.5
1400138760000,52.84267,9.232473,65.20001
1400138761000,52.842674,9.232474,65.0
1400138762000,52.842674,9.232478,65.099976
1400138763000,52.84268,9.232481,65.0
1400138764000,52.84268,9.232481,65.0
1400138765000,52.84268,9.232481,65.0
1400138766000,52.84268,9.232481,65.0
1400138767000,52.84268,9.232481,65.0
1400138768000,52.84268,9.232481,65.0
1400138769000,52.84268,9.232481,65.0
1400138770000,52.84268,9.232481,65.0
1400138771000,52.84268,9.232481,65.0
1400138772000,52.84268,9.232481,65.0
1400138773000,52.84268,9.232481,65.0
1400138774000,52.84268,9.232481,65.0
1400138775000,52.84268,9.232481,65.0
1400138776000,52.84268,9.232481,65.0
1400138777000,52.84268,9.232481,65.0
1400138778000,52.84268,9.232481,65.0
1400138779000,52.84268,9.232481,65.0
1400138780000,52.84268,9.232481,65.0
1400138781000,52.84268,9.232481,65.0
1400138782000,52.84268,9.232481,65.0
1400138783000,52.84268,9.232481,65.0
1400138784000,52.84268,9.232481,65.0
1400138785000,52.84268,9.232481,65.0
1400138786000,52.84268,9.232481,65.0
1400138787000,52.84268,9.232481,65.0
1400138788000,52.84268,9.232481,65.0
1400138789000,52.84268,9.232481,65.0
1400138790000,52.84268,9.232481,65.0
1400138791000,52.84268,9.232481,65.0
1400138792000,52.84268,9.232481,65.0
1400138793000,52.84268,9.232481,65.0
1400138794000,52.84268,9.232481,65.0
1400138795000,52.84268,9.232481,65.0
1400138796000,52.84268,9.232481,65.0
1400138797000,52.84268,9.232481,65.0
1400138798000,52.84268,9.232481,65.0
1400138799000,52.84268,9.232481,65.0
1400138800000,52.84268,9.232481,65.0
1400138801000,52.84268,9.232481,65.0
1400138802000,52.84268,9.232481,65.0
1400138803000,52.84268,9.232481,65.0
1400138804000,52.84268,9.232481,65.0
1400138805000,52.84268,9.232481,65.0
1400138806000,52.84268,9.232481,65.0
1400138807000,52.84268,9.232481,65.0
1400138808000,52.84268,9.232481,65.0
1400138809000,52.84268,9.232481,65.0
1400138810000,52.84268,9.232481,65.0
1400138811000,52.84268,9.232481,65.0
1400138812000,52.84268,9.232481,65.0
1400138813000,52.84268,9.232481,65.0
1400138814000,52.84268,9.232481,65.0
1400138815000,52.84268,9.232481,65.0
1400138816000,52.84268,9.232481,65.0
1400138817000,52.84268,9.232481,65.0
1400138818000,52.84268,9.232481,65.0
1400138819000,52.84268,9.232481,65.0
1400138820000,52.84268,9.232481,65.0
1400138821000,52.84268,9.232481,65.0
1400138822000,52.84268,9.232481,65.0
1400138823000,52.84268,9.232481,65.0
1400138824000,52.84268,9.232481,65.0
1400138825000,52.84268,9.232481,65.0
1400138826000,52.84268,9.232481,65.0
1400138827000,52.84268,9.232481,65.0
1400138828000,52.84268,9.232481,65.0
1400138829000,52.84268,9.232481,65.0
1400138830000,52.84268,9.232481,65.0
1400138831000,52.84268,9.232481,65.0
1400138832000,52.84268,9.232481,65.0
1400138833000,52.84268,9.232481,65.0
1400138834000,52.84268,9.232481,65.0
1400138835000,52.84268,9.232481,65.0
1400138836000,52.84268,9.232481,65.0
1400138837000,52.84268,9.232481,65.0
1400138838000,52.84268,9.232481,65.0
1400138839000,52.84268,9.232481,65.0
1400138840000,52.84268,9.232481,65.0
1400138841000,52.84268,9.232481,65.0
1400138842000,52.84268,9.232481,65.0
1400138843000,52.84268,9.232481,65.0
1400138844000,52.84268,9.232481,65.0
1400138845000,52.84268,9.232481,65.0
1400138846000,52.84268,9.232481,65.0
1400138847000,52.84268,9.232481,65.0
1400138848000,52.84268,9.232481,65.0
1400138849000,52.84268,9.232481,65.0
1400138850000,52.84268,9.232481,65.0
1400138851000,52.84268,9.232481,65.0
1400138852000,52.84264,9.232462,66.599976
1400138853000,52.84264,9.232462,66.599976
1400138854000,52.842644,9.232462,66.70001
1400138855000,52.842644,9.232461,66.79999
1400138857000,52.842644,9.232461,66.79999
1400138858000,52.842644,9.232461,66.79999
1400138859000,52.842644,9.232461,66.79999
1400138860000,52.842644,9.232461,66.79999
1400138861000,52.842644,9.232461,66.79999
1400138862000,52.842644,9.232461,66.79999
1400138863000,52.842644,9.232461,66.79999
1400138864000,52.842644,9.232461,66.79999
1400138865000,52.842632,9.232468,67.20001
1400138866000,52.842632,9.232464,67.099976
1400138867000,52.84263,9.232459,67.099976
1400138868000,52.842625,9.232457,67.20001
1400138869000,52.84262,9.232455,67.20001
1400138870000,52.84262,9.232452,67.29999
1400138871000,52.84262,9.232452,67.29999
1400138872000,52.84262,9.232452,67.29999
1400138873000,52.84262,9.232452,67.29999
1400138874000,52.84262,9.232452,67.29999
1400138875000,52.84262,9.232452,67.29999
1400138876000,52.84262,9.232452,67.29999
1400138877000,52.84262,9.232452,67.29999
1400138878000,52.84262,9.232452,67.29999
1400138879000,52.84262,9.232452,67.29999
1400138880000,52.84262,9.232452,67.29999
1400138881000,52.84262,9.232452,67.29999
1400138882000,52.84262,9.232452,67.29999
1400138883000,52.84262,9.232452,67.29999
1400138884000,52.84262,9.232452,67.29999
1400138885000,52.84262,9.232452,67.29999
1400138886000,52.84262,9.232452,67.29999
1400138887000,52.84262,9.232452,67.29999
1400138888000,52.84262,9.232452,67.29999
1400138889000,52.84262,9.232452,67.29999
1400138890000,52.84262,9.232452,67.29999
1400138891000,52.84262,9.232452,67.29999
1400138892000,52.84262,9.232452,67.29999
1400138893000,52.84262,9.232452,67.29999
1400138894000,52.84262,9.232452,67.29999
1400138895000,52.84262,9.232452,67.29999
1400138896000,52.84262,9.232452,67.29999
1400138897000,52.84262,9.232452,67.29999
1400138898000,52.84262,9.232452,67.29999
1400138899000,52.84262,9.232452,67.29999
1400138900000,52.84262,9.232452,67.29999
1400138901000,52.84262,9.232452,67.29999
1400138902000,52.84262,9.232452,67.29999
1400138903000,52.84262,9.232452,67.29999
1400138904000,52.84262,9.232452,67.29999
1400138905000,52.84262,9.232452,67.29999
1400138906000,52.84262,9.232452,67.29999
1400138907000,52.84262,9.232452,67.29999
1400138908000,52.84262,9.232452,67.29999
1400138909000,52.84262,9.232452,67.29999
1400138910000,52.84262,9.232452,67.29999
1400138911000,52.84262,9.232452,67.29999
1400138912000,52.84262,9.232452,67.29999
1400138913000,52.84262,9.232452,67.29999
1400138914000,52.84262,9.232452,67.29999
1400138915000,52.84262,9.232452,67.29999
1400138916000,52.84262,9.232452,67.29999
1400138917000,52.84262,9.232452,67.29999
1400138918000,52.84262,9.232452,67.29999
1400138919000,52.84262,9.232452,67.29999
1400138919000,52.84262,9.232452,67.29999
1400138920000,52.84262,9.232452,67.29999
1400138921000,52.84262,9.232452,67.29999
1400138922000,52.84262,9.232452,67.29999
1400138923000,52.84262,9.232452,67.29999
1400138924000,52.84262,9.232452,67.29999
1400138925000,52.84262,9.232452,67.29999
1400138926000,52.84262,9.232452,67.29999
1400138927000,52.84262,9.232452,67.29999
1400138928000,52.84262,9.232452,67.29999
1400138929000,52.84262,9.232452,67.29999
1400138930000,52.84262,9.232452,67.29999
1400138931000,52.84262,9.232452,67.29999
1400138932000,52.84262,9.232452,67.29999
1400138933000,52.84262,9.232452,67.29999
1400138934000,52.84262,9.232452,67.29999
1400138935000,52.84262,9.232452,67.29999
1400138936000,52.84262,9.232452,67.29999
1400138937000,52.84262,9.232452,67.29999
1400138938000,52.84262,9.232452,67.29999
1400138939000,52.84262,9.232452,67.29999
1400138940000,52.84262,9.232452,67.29999
1400138941000,52.84262,9.232452,67.29999
1400138942000,52.84262,9.232452,67.29999
1400138943000,52.84262,9.232452,67.29999
1400138944000,52.842617,9.232501,65.0
1400138945000,52.842617,9.232501,65.0
1400138946000,52.842613,9.232498,65.20001
1400138947000,52.842613,9.232496,65.20001
1400138948000,52.842613,9.232496,65.20001
1400138949000,52.842613,9.232496,65.20001
1400138950000,52.842613,9.232496,65.20001
1400138951000,52.842613,9.232496,65.20001
1400138952000,52.842613,9.232483,65.29999
1400138953000,52.842613,9.232482,65.5
1400138954000,52.842613,9.232483,65.400024
1400138956000,52.842613,9.232482,65.599976
1400138957000,52.842613,9.232482,65.599976
1400138958000,52.842613,9.232482,65.599976
1400138959000,52.842613,9.232482,65.599976
1400138960000,52.842613,9.232482,65.599976
1400138961000,52.842613,9.232496,65.20001
1400138962000,52.842613,9.232497,65.20001
1400138963000,52.842613,9.232496,65.20001
1400138964000,52.842617,9.232493,65.400024
1400138965000,52.842617,9.232493,65.400024
1400138966000,52.842617,9.232493,65.400024
1400138967000,52.842617,9.232493,65.400024
1400138968000,52.842617,9.232493,65.400024
1400138969000,52.842617,9.232493,65.400024
1400138970000,52.842617,9.232493,65.400024
1400138971000,52.842617,9.232493,65.400024
1400138972000,52.842617,9.232493,65.400024
1400138973000,52.842617,9.232493,65.400024
1400138974000,52.842617,9.232493,65.400024
1400138975000,52.842617,9.232493,65.400024
1400138976000,52.842617,9.232493,65.400024
1400138977000,52.842617,9.232493,65.400024
1400138978000,52.842617,9.232493,65.400024
1400138979000,52.842617,9.232493,65.400024
1400138980000,52.842617,9.232493,65.400024
1400138981000,52.842617,9.232493,65.400024
1400138982000,52.842617,9.232493,65.400024
1400138983000,52.842617,9.232493,65.400024
1400138984000,52.842617,9.232493,65.400024
1400138985000,52.842617,9.232493,65.400024
1400138986000,52.84264,9.232516,65.79999
1400138987000,52.842644,9.23252,65.79999
1400138988000,52.84264,9.232522,65.70001
1400138989000,52.84264,9.232522,65.70001
1400138990000,52.84264,9.232522,65.70001
1400138991000,52.84264,9.232522,65.70001
1400138992000,52.84264,9.232522,65.70001
1400138993000,52.84264,9.232522,65.70001
1400138994000,52.84264,9.232522,65.70001
1400138995000,52.84264,9.232522,65.70001
1400138996000,52.84264,9.232522,65.70001
1400138997000,52.84264,9.232522,65.70001
1400138998000,52.84264,9.232522,65.70001
1400138999000,52.84264,9.232522,65.70001
1400139000000,52.84264,9.232522,65.70001
1400139001000,52.84264,9.232522,65.70001
1400139002000,52.84264,9.232522,65.70001
1400139003000,52.84264,9.232522,65.70001
1400139004000,52.84264,9.232522,65.70001
1400139005000,52.84264,9.232522,65.70001
1400139006000,52.84264,9.232522,65.70001
1400139007000,52.84264,9.232522,65.70001
1400139008000,52.84264,9.232522,65.70001
1400139009000,52.84264,9.232522,65.70001
1400139010000,52.84264,9.232522,65.70001
1400139011000,52.84264,9.232522,65.70001
1400139012000,52.84264,9.232522,65.70001
1400139013000,52.84264,9.232522,65.70001
1400139014000,52.84264,9.232522,65.70001
1400139015000,52.84264,9.232522,65.70001
1400139016000,52.84264,9.232522,65.70001
1400139017000,52.84264,9.232522,65.70001
1400139018000,52.84264,9.232522,65.70001
1400139019000,52.84264,9.232522,65.70001
1400139020000,52.84264,9.232522,65.70001
